609693,WESTINGHOUSE HS,George Westinghouse College Prep,Selective enrollment
400022,CHIARTS HS,Chicago High School for the Arts (ChiArts),Contract
609680,PAYTON HS,Walter Payton College Preparatory High School,Selective enrollment
610392,WORLD LANGUAGE HS,World Language Academy High School,Small
609678,JONES HS,William Jones College Preparatory High School,Selective enrollment
609719,LAKE VIEW HS,Lake View High School,Neighborhood
400087,YOUNG WOMENS HS,Young Women's Leadership Charter School,Charter
610380,WILLIAMS HS,Daniel Hale Williams Prep School of Medicine,Small
609750,SIMPSON HS,Simpson Academy HS for Young Women,Citywide-Option
400053,NOBLE - GOLDER HS,Noble - Golder College Prep,Charter
400062,PERSPECTIVES - TECH HS,Perspectives - High School of Technology,Charter
610357,SPRY HS,Spry Community Links High School,Neighborhood
609707,ROBESON HS,Paul Robeson High School,Neighborhood
400098,NOBLE - MUCHIN HS,Noble - Muchin College Prep,Charter
610506,TEAM HS,TEAM Englewood Community Academy High School,Small
400013,ASPIRA - EARLY COLLEGE HS,ASPIRA Charter School - Early College High School,Charter
609679,PROSSER HS,Charles Allen Prosser Career Academy High School,Career academy
610499,COLLINS HS,Collins Academy High School,Small
400061,PERSPECTIVES - LEADERSHIP HS,Perspectives - Leadership Academy,Charter
609751,KING HS,Dr  Martin Luther King  Jr  College Prep HS,Selective enrollment
609766,VAUGHN HS,Jacqueline B Vaughn Occupational High School,Special Education
400032,CICS - ELLISON HS,CICS - Ralph Ellison,Charter
609768,HOPE HS,Hope College Preparatory High School,Neighborhood
400102,URBAN PREP - WEST HS,Urban Prep Charter Academy for Young Men - West,Charter
609695,AMUNDSEN HS,Roald Amundsen High School,Neighborhood
400091,CHICAGO TECH HS,Chicago Technology Academy High School,Contract
609710,HARLAN HS,John M Harlan Community Academy High School,Neighborhood
609735,TILDEN HS,Edward Tilden Career Community Academy HS,Neighborhood
400059,NORTH LAWNDALE - COLLINS HS,North Lawndale College Prep - Collins,Charter
609682,RICHARDS HS,Ellen H Richards Career Academy High School,Neighborhood
609711,HARPER HS,William Rainey Harper High School,Neighborhood
400097,NOBLE - BULLS HS,Noble - Chicago Bulls College Prep,Charter
610304,PHOENIX MILITARY HS,Phoenix Military Academy High School,Military academy
610390,RICKOVER MILITARY HS,Hyman G Rickover Naval Academy High School,Military academy
